area,aspect_ratio,circularity,solidity,h,s,v,label
30007.5,1.3872832369942196,0.6888205250520371,0.9827247420992304,173.83478318175827,185.17800184526163,224.2747792276262,1
76974.5,1.1121794871794872,0.6739110362150564,0.9867450341949916,172.83285179930348,193.24418934605958,223.23201341416225,1
41604.0,0.6377358490566037,0.7198400538495102,0.9865547414099737,169.1830707724525,221.73180714863642,181.5261767645519,1
22027.0,0.6875,0.6123451836021419,0.9754660998184315,169.0702901146132,189.24037428366762,233.39505730659025,1
29877.5,1.3859649122807018,0.6796264786905928,0.9806833847567781,171.9836548324124,181.05393243556233,224.12844522383617,1
24751.0,1.3625730994152048,0.626821406589345,0.9722096745684152,172.2325581395349,167.1707287885436,107.3983405799992,1
275497.5,1.3333333333333333,0.7829704856065309,0.995265671512384,176.44865910775962,199.94220510316643,190.29120960596032,1
38197.0,1.1790393013100438,0.6854680962809734,0.9637432507443104,173.36026246174595,214.30170133305668,174.86109238031017,1
12209.0,0.9736842105263158,0.6961038574986245,0.967049504950495,174.54532258064515,217.83048387096775,175.07879032258066,1
7342.0,1.0263157894736843,0.718205517674801,0.9817476766731297,176.92747428876717,199.93829304127152,163.6616802457593,1
6193.0,1.0380952380952382,0.71853567878363,0.977662009629805,171.8094861660079,213.57280632411067,141.60474308300397,1
4128.0,0.7835051546391752,0.7275521699290546,0.9794756198837348,167.6336166194523,214.69145420207744,135.92752596789424,1
2293.5,0.9253731343283582,0.7239817949437556,0.9675174013921114,176.3418947368421,217.17726315789474,102.29052631578948,1
8973.5,1.639344262295082,0.4061103882613627,0.9628218884120172,166.2066753642096,195.51891715590344,132.40661013263752,1
6076.5,1.6428571428571428,0.3401928991171357,0.9598767869836505,163.5388906598661,174.4784826267134,128.3551163532037,1
22739.5,0.6932773109243697,0.6317612706564986,0.9757976269659064,172.1851851851852,213.1466284572967,202.5522990751596,1
9190.5,0.4774774774774775,0.3934743881753126,0.9538661131292164,163.03152196985778,195.56909361069836,181.6188707280832,1
7119.0,0.4786729857819905,0.33679231106002644,0.9398640174268929,160.5681198910082,187.14618528610356,178.53446866485015,1
30078.5,0.8266666666666667,0.7008590076451422,0.9787355199791749,171.37077100115076,217.0667105046852,100.12664803550881,1
31539.0,0.8904109589041096,0.7099517751145007,0.9821714961929526,171.00263446761798,218.59168888191937,110.12617218127646,1
39893.0,0.6952054794520548,0.5988728888996888,0.9610455311973018,176.55717936630026,173.0354564176364,245.15986402997294,1
38776.5,0.646875,0.6298992552427963,0.976774941118682,170.79526010674977,222.7349899124039,184.07835125264958,1
22364.0,2.030534351145038,0.5390465639726593,0.9867631486057183,167.68134966082283,226.7279534842745,183.38758699674037,1
9034.0,1.0,0.6760356544087829,0.9804113082641489,176.75923110338834,212.91072980017375,164.80962206776715,1
11593.0,0.9078947368421053,0.6780346379736605,0.9805878621272996,176.54836246394026,195.10478533853725,181.80383505854405,1
64701.5,0.7560975609756098,0.7357309128647622,0.9928111094061685,171.79049168751826,213.8367591299142,216.47355817202157,1
29659.5,0.4880239520958084,0.5308230247869679,0.9807387077574234,160.9321232306411,206.33248959200665,197.0701415487094,1
17074.5,0.6448598130841121,0.7107174115861253,0.9851430879298407,170.5698676070995,231.6125917789212,102.42764641267271,1
8272.0,0.7980769230769231,0.7704529393252586,0.9895328667982535,176.54535777646365,189.7492607924305,165.27853341218216,1
